#|ItemCodeFG|ItemNameFG|ItemCodeRM|ItemNameRM|Supplier|Bentuk|Material|Warna Dasar|Warna Cetakan|Panjang|Lebar|Tinggi|Tebal|Tinggi Leher|Diam Dalam Mulut|Diam Luar Mulut|Diam Dalam|Diam Luar|Panjang Selang|Berat|Volume|Barcode|POM NA|Tipe|Group
50|FGBMA2008|Camellia Body Mist Cologne Refresh (Green) 100ml|RMLPC0844|Sticker Camellia Bodymist 100ml Green (REFRESH) BACK|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Hijau|Putih, Hijau Muda, Hijau Tua, Pink, Kuning, Silver, Hitam|||||||||||0.30 - 0.50||8992832604292|18150601613||
51|FGBMA2008|Camellia Body Mist Cologne Refresh (Green) 100ml|RMLPC0843|Sticker Camellia Bodymist 100ml Green (REFRESH) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Hijau|Putih, Hijau Muda, Hijau Tua, Pink, Kuning, Silver, Hitam|||||||||||0.30 - 0.50||8992832604292|18150601613||
52|FGBMA2008|Camellia Body Mist Cologne Refresh (Green) 100ml|RMLPC0836|Botol Camellia Bodymist 100ml Green|PRISKILA INJECTION|Persegi|PET|Hijau Muda||49.40 - 50.40|30.50 - 31.40|122.10 - 123.20|1.62 - 1.80||14.00 - 14.60|17.60 - 20.40||||13.70 - 14.30|97 - 102||||
53|FGBMA2008|Camellia Body Mist Cologne Refresh (Green) 100ml|RMLPC0795|Partisi inner Camellia Bodymist/Camellia Hand Spray/Marie Jose Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
54|FGBMA2008|Camellia Body Mist Cologne Refresh (Green) 100ml|RMLPC0794|Carton INNER Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|148 - 153|110 - 114|178 - 185||||||||63.00 - 69.00|||||
55|FGBMA2008|Camellia Body Mist Cologne Refresh (Green) 100ml|RMLPC0793|Carton BOX Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah|430-440|345 - 355|185 - 194||||||||396.40 - 398.90|||||
56|FGBMA2008|Camellia Body Mist Cologne Refresh (Green) 100ml|RMFCL0021|20mm Screw Mist Pump GREEN (125mm FBOG)|YIWU SUPPLY & MARKETING IMPORT AND EXPORT CO., LTD|Silinder|PP - LDEP|Hijau Muda|||1.05 - 1.56||||20.00 - 20.48|21.88 - 23.40|124.00 - 128.00|5.85 - 7.35||||||
57|FGBMA2101|Camellia Body Mist Japanese Series Kirei (Orange) 100ml|RMLPC1169|Partisi Inner Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
58|FGBMA2101|Camellia Body Mist Japanese Series Kirei (Orange) 100ml|RMLPC1168|Carton INNER Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|148 - 153|110 - 114|178 - 185||||||||63.00 - 69.00|||||
59|FGBMA2101|Camellia Body Mist Japanese Series Kirei (Orange) 100ml|RMLPC1166|Carton BOX Camellia Bodymist Japanese Series 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|358-364|310-315|188-195||||||||352.00-389.00|||||
60|FGBMA2101|Camellia Body Mist Japanese Series Kirei (Orange) 100ml|RMLPC1126|Sticker Camellia Body Mist Japanese Series Kirei (Orange) 100ml|SETIAJAYA ANUGRAH PRATAMA. PT|Balok|Kertas Karton|Coklat|Merah, Coklat|148 - 153|110 - 114|178 - 185||||||||63.00 - 69.00|||||
